Title,Date,URL,Summary,Keywords,Location,Coordinates,Location Source,Word Count
"South Sudan raid: 4,000 cattle stolen, 3 killed",2026-01-11,https://southsudanherald.com/south-sudan-raid-4000-cattle-stolen-3-killed/,"A raid in Warrap State, South Sudan, resulted in three deaths and the theft of over 4,000 cattle. Authorities from Warrap State suspect armed youth from Unity State were responsible, though Unity State officials dispute this, suggesting the attackers were from within Gogrial East County. Security forces have been deployed to the affected areas of Alabek and Lietnhom.","South Sudan, Warrap State, cattle raiding, Gogrial East County, Unity State",South Sudan,"(30.0, 7.0)",extracted,261
Brother Killed in Aweil East Family Dispute,2026-01-11,https://southsudanherald.com/brother-killed-in-aweil-east-family-dispute/,"A 26-year-old man in Aweil East County, South Sudan, killed his 30-year-old elder brother during a family dispute. The incident occurred after the elder brother, reportedly intoxicated, began threatening family members. The younger brother intervened, leading to a physical confrontation that resulted in the elder brother's death from injuries, possibly to the lung and heart.","Aweil East, family dispute, homicide, intoxication, South Sudan",Aweil East County,"(27.8174, 9.2274)",extracted,365
Yuai on Edge as Rival Forces Build Up in Jonglei,2026-01-11,https://southsudanherald.com/yuai-on-edge-as-rival-forces-build-up-in-jonglei/,"Tensions are high in Yuai, Jonglei State, as SSPDF and SPLA-IO forces prepare for a showdown following recent fighting that saw Yuai fall to SPLA-IO. Civilians have fled the town, creating a dire humanitarian situation with over 10,000 internally displaced persons facing hunger. Both sides are reinforcing positions, with SPLA-IO asserting firm control over Uror and Nyirol while denying allegations of seizing NGO vehicles.","Yuai, Jonglei, SSPDF, SPLA-IO, South Sudan conflict, humanitarian crisis",Yuai,"(30.6872, 7.3739)",extracted,394
"Oyet Rejects Resignation Talk, Signals Unity Push",2026-01-11,https://southsudanherald.com/oyet-rejects-resignation-talk-signals-unity-push/,"Gen. Nathaniel Oyet, Acting Chairman of SPLM/A-IO, has publicly denied claims of his resignation, reaffirming his commitment to the movement. His statement addresses a circulating resignation letter he deems inauthentic and questions the legitimacy of a note attributed to Dr. Riek Machar regarding his role. Oyet emphasized the constitutional basis of his position and the interconnectedness of the movement's political and military wings, calling for unity amidst internal disputes.","Nathaniel Oyet, SPLM/A-IO, Riek Machar, resignation, unity, South Sudan",Juba,"(31.6, 4.85)",extracted,316
South Sudan’s Oil Dilemma in Sudan War Spillover,2026-01-09,https://southsudanherald.com/south-sudans-oil-dilemma-in-sudan-war-spillover/,"South Sudan is increasingly entangled in Sudan's civil war, facing accusations of supporting the Rapid Support Forces (RSF) while navigating its own domestic power struggles. The conflict, particularly around the strategic Heglig oil field, highlights South Sudan's economic reliance on oil pipelines through Sudan and the dire humanitarian consequences for civilians.","South Sudan, Sudan War, Oil, RSF, SAF, Heglig",South Sudan,"(30.0, 7.0)",extracted,635
Deadly Aweng Land Clash: Chiefs Suspended,2026-01-08,https://southsudanherald.com/deadly-aweng-land-clash-chiefs-suspended/,"A land dispute in Aweng Payam, Twic County, Warrap State, escalated into violence, resulting in two deaths. Three traditional chiefs have been suspended due to allegations of incitement, and an investigation is underway with several arrests made. Interim leadership has been appointed to ensure peace and justice, highlighting the ongoing challenge of land disputes in South Sudan.","land dispute, Twic County, Aweng Payam, chiefs suspended",Aweng Land,"(28.9888, 8.0583)",extracted,307
Cross-Border Peace Talks Stall Over Cattle Routes,2026-01-07,https://southsudanherald.com/cross-border-peace-talks-stall-over-cattle-routes/,"A cross-border peace conference in South Sudan was postponed due to a disagreement between the Misseriya and Mayom communities over cattle migration routes. The conference, aimed at reducing tensions and addressing seasonal movements, involved several communities and was funded by UNMISS and the South Sudan government. Mayom County declined to participate at the last minute, awaiting further engagement from Misseriya leaders.","South Sudan, Misseriya, Mayom, Cattle Migration, Peace Talks, Abiemnhom",Abiemnhom,"(28.1667, 9.1833)",extracted,369
Peace Envoy Chief Dies in Yuai Crossfire Shock,2026-01-06,https://southsudanherald.com/peace-envoy-chief-dies-in-yuai-crossfire-shock/,"Moses Machot Gierkuach, a community head chief from Duk County on a peace mission, was killed in Yuai town, Uror County, South Sudan, during clashes between the SSPDF and SPLA-IO. His death, possibly from crossfire or assassination, is a significant loss for local peacemaking efforts. Insecurity prevented his body from being returned home, highlighting the region's volatile conditions.","South Sudan, Jonglei State, peace mission, crossfire, community chief, SPLA-IO, SSPDF, Yuai",Yuai,"(30.606, 7.03)",extracted,308
Rumbek Conference Sparks Hopes of Lasting Peace,2026-01-06,https://southsudanherald.com/rumbek-conference-sparks-hopes-of-lasting-peace/,"Community leaders from the Agar community opened a five-day conference in Rumbek, Lakes State, South Sudan, aiming to address years of inter-communal conflict. The gathering, initiated by the Rumbek Youth Union, brings together diverse participants to draft proposals for reconciliation, focusing on issues like gun violence, land disputes, and youth rivalries. Discussions also include the role of traditional mechanisms, bride wealth, and the potential for digital platforms to sustain dialogue and peace efforts.","Rumbek Conference, Agar community, South Sudan, inter-communal peace, reconciliation",Rumbek,"(29.6732, 6.8157)",extracted,387
Unity State on Edge: Commanders Shape New Frontlines,2026-01-05,https://southsudanherald.com/unity-state-on-edge-commanders-shape-new-frontlines/,"Unity State in South Sudan has become the epicenter of new hostilities, driven by localized command structures and personal networks rather than directives from Juba. The conflict involves government forces, primarily Bul Nuer, and opposition units tied to Leek, Jikany, Dok, and Nyuong communities, with control over key areas like the Bentiu-Heglig road crucial for oil revenues and resupply. Persistent flooding, oil pollution, and the closure of Sudan's border exacerbate the humanitarian crisis, while community leaders express frustration over the lack of implementation of peace agreements on the ground.","Unity State, South Sudan, Civil War, Bentiu, Oil Revenues, Humanitarian Crisis",Unity State; Bentiu; Rubkona; Guit; Juba; Heglig; Leer; Nairobi,"(29.75, 8.75); (29.8333, 8.2833); (29.85, 8.3); (30.0833, 8.7333); (31.6, 4.85); (30.5, 10.0); (30.13, 8.3); (36.8167, -1.2833)",extracted,425
South Sudan Forces Urged to Heed War Laws Now,2026-01-05,https://southsudanherald.com/south-sudan-forces-urged-to-heed-war-laws-now/,"Renewed clashes between South Sudan's armed forces in Jonglei and beyond are raising concerns about adherence to war laws. Observers and activists emphasize the importance of international humanitarian law, particularly regarding the protection of civilians and the prevention of sexual violence. There's a call for accountability, including through a potential Hybrid Court, and for mandatory training in humanitarian law to reduce violations and protect communities.","South Sudan, War Laws, Humanitarian Law, Jonglei, Accountability",Jonglei; South Sudan,"(31.55, 7.583333); (31.0, 7.0)",extracted,280
Pardoned Rebel Leader Flown to Juba in Secret Deal,2026-01-05,https://southsudanherald.com/pardoned-rebel-leader-flown-to-juba-in-secret-deal/,"Rebel leader Leek Mamer Leek of the Red Belt group was pardoned and airlifted to Juba as part of a secret deal aimed at reducing communal friction in South Sudan. This initiative seeks to co-opt grassroots fighters into community policing units rather than engaging them militarily. The agreement involved nullifying rebellion charges and integrating Red Belt members, reflecting a broader strategy by Juba to manage local armed groups through strategic co-option.","South Sudan, Red Belt, Juba, Pardon, Rebel Leader, Security Deal",Juba,"(31.571477, 4.85165)",extracted,258
Fresh Clashes Shake South Sudan Peace Hopes,2026-01-05,https://southsudanherald.com/fresh-clashes-shake-south-sudan-peace-hopes/,"Recent clashes between the South Sudan People’s Defence Forces and SPLM/A-IO units across Jonglei, Unity, and Eastern Equatoria threaten the Revitalized Agreement and imperil peace hopes. Humanitarian efforts are being hampered by fighting, and there are calls for renewed commitment to the ceasefire and political negotiations. International bodies and neighboring countries are urging restraint and mediation to prevent further escalation.","South Sudan, conflict, peace agreement, humanitarian crisis, mediation",Jonglei; Unity; Eastern Equatoria; Juba,"(31.5, 7.5); (30.25, 8.75); (33.5, 4.5); (31.6, 4.85)",extracted,209
Fighting Surges as South Sudan Eyes 2026 Polls,2026-01-05,https://southsudanherald.com/fighting-surges-as-south-sudan-eyes-2026-polls/,"Fighting has intensified in South Sudan between the South Sudan People’s Defence Forces and the SPLA-IO, further eroding the 2018 peace accord. Civilian populations are suffering greatly, facing violence, displacement, and a lack of humanitarian aid. Activists like Edmund Yakani are condemning leaders and urging youth to reject recruitment, warning that continued conflict could lead to ethnically driven atrocities and undermine the upcoming 2026 elections.","South Sudan, conflict, peace accord, 2026 polls, humanitarian crisis",South Sudan; Unity State; Nasir; Greater Equatoria; Upper Nile,"(30.0, 7.0); (30.25, 8.5); (33.15, 8.07); (30.5, 4.5); (32.7, 9.5)",extracted,242
Sudden Shift: Bentiu Camp Falls to Government Forces,2026-01-05,https://southsudanherald.com/sudden-shift-bentiu-camp-falls-to-government-forces/,"Government forces in South Sudan seized the Bentiu IDP camp after a brief battle with opposition fighters, marking a significant breakdown of the 2018 security arrangements. The takeover, intended to restore law and order, is seen by opposition as a violation of ceasefire clauses, raising concerns about future stability in the region.","Bentiu, South Sudan, SPLA-IO, SSPDF, IDP camp, conflict",Bentiu,"(29.8333, 8.5333)",extracted,357
"Deadly Warrap Showdown Leaves 14 Dead, 15 Injured",2026-01-04,https://southsudanherald.com/deadly-warrap-showdown-leaves-14-dead-15-injured/,"Clashes between the Nyarmuong and Jur-Man-Anger communities in Warrap State have resulted in 14 deaths and 15 injuries, fueled by revenge killings and armed youth mobilization. The violence, sparked by a shooting, is complicated by difficult terrain and limited access for peacekeepers, prompting calls for reconciliation and peace forums.","Warrap State, community clashes, revenge killings, South Sudan",Warrap State,"(28.6667, 8.0)",extracted,255
"SPLA-IO Threatens New Strikes, Civilians Alerted",2026-01-04,https://southsudanherald.com/spla-io-threatens-new-strikes-civilians-alerted/,"The SPLA-IO has announced an ""active defence"" campaign against government forces in Juba, citing the need to alleviate citizen suffering. They have warned civilians to avoid military installations and appealed to government soldiers to defect, while also requesting NGOs and UN agencies to coordinate movements to ensure humanitarian access.","SPLA-IO, South Sudan, Juba, conflict, humanitarian",Juba,"(31.57147, 4.85165)",extracted,351
"Artillery Thunder Jolts Bentiu, Tensions Soar",2026-01-04,https://southsudanherald.com/artillery-thunder-jolts-bentiu-tensions-soar/,"Heavy artillery shelling hit opposition-held areas near Bentiu, Unity State, escalating tensions and raising fears of catastrophic displacement due to ongoing flooding. The flare-up follows border skirmishes and highlights the fragility of South Sudan's 2018 peace accord, with aid workers warning of severe humanitarian consequences. Diplomatic efforts are underway to secure a ceasefire and humanitarian corridors.","Bentiu, Unity State, South Sudan, Artillery, Conflict, Displacement, Peace Accord",Bentiu,"(29.8333, 8.5333)",extracted,277
"1,000 SSOA Fighters Switch Sides in Jonglei Shock",2026-01-04,https://southsudanherald.com/1000-ssoa-fighters-switch-sides-in-jonglei-shock/,"Over a thousand fighters from the South Sudan Opposition Alliance (SSOA) in Jonglei State have switched allegiance to the Sudan People’s Liberation Army–In Opposition (SPLA-IO) after a rally. Brigadier General Much Dak Banang, an SSOA commander, rejected integrating forces into the national army, citing incomplete peace accord implementation and civilian burden. This defection highlights the unstable loyalties and escalating tensions in Jonglei, despite the 2018 peace agreement.","South Sudan, Jonglei, SPLA-IO, SSOA, Peace Accord",Jonglei,"(31.9167, 7.5)",extracted,266
SPLA-IO Seizes Key Border Garrison in Unity State,2026-01-04,https://southsudanherald.com/spla-io-seizes-key-border-garrison-in-unity-state/,"Renewed hostilities erupted in Nyuelnyuel, a strategic border settlement in Unity State, South Sudan, between government troops and SPLA-IO fighters. The clash, which saw SPLA-IO pushing back government forces, has caused civilian displacement and raised concerns about the fragile 2018 peace agreement and its security arrangements.","SPLA-IO, Unity State, South Sudan, peace agreement",Unity State,"(30.25, 8.5)",extracted,267
Cueibet Tension: Five Killed in Lakes State Clash,2026-01-03,https://southsudanherald.com/cueibet-tension-five-killed-in-lakes-state-clash/,"Five people were killed and dozens wounded in clashes in Cueibet County, Lakes State, South Sudan, stemming from a disputed livestock raid. The fighting occurred despite the presence of reconciliation leaders and highlights concerns about weak local governance and a power vacuum. Community leaders are calling for sustained dialogue and a permanent county commissioner to address the entrenched hostility.","Cueibet County, Lakes State, cattle raiding, South Sudan conflict, local governance",Cueibet County; Lakes State,"(30.0667, 6.8833); (30.0, 6.0)",extracted,252
